name,logo,mitra_brand_name,location,link
EGMNT&O - Business and HR Legal Analyst,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/dd0681f1-fdc0-11ee-865e-fae64678b8c1
EGMNT&O - HR Business Partner & Operation Analyst,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/699a27dd-fdc0-11ee-9648-aa9bf47860c9
EGMNT&O - Talent Acquisition & Employer Branding,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/da3d5fe3-fdbf-11ee-8a41-f67d68bd6616
HRRS - Recruitment Administrator Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/28189873-fc92-11ee-877d-ee833f3bb5c3
HR&L - HR Design Graphic & Social Media,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/5e47fea9-fb61-11ee-8418-a2b4dbc792e0
HR&L - HR Operation Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/dda5f34e-fb5f-11ee-82ee-42fdda477ac9
HR&L - HR Development Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/54ce74c4-fb5f-11ee-8418-a2b4dbc792e0
HR&L - Legal Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/ebd6c1f7-fb5c-11ee-9129-da28f9df4d8d
JSN - Human Resource,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/cc87f333-00d1-11ef-ba24-e26d212b611d
DYS - Human Resources & General Affairs,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c8bece01-8738-4a37-90f9-3d0302da1cd7/819171a9-00cc-11ef-ba24-e26d212b611d
