name,logo,mitra_brand_name,location,link
Financial Advisor,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_54c9c8c9-b84d-45ad-8ac0-666d74119bca.jpg,Shining Stars Agency,Kota Medan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/adcbdd20-cbec-4c22-8da0-6c21f9b5cd3d/9740040d-e8f6-11ee-91d0-16cd1757bbe4
Auditor Energi,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_5581c339-6afb-49e0-9419-e567a17dcf2f.png,Dinas Lingkungan Hidup Kota Surabaya,Kota Surabaya,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/6f0479d7-d825-41e9-b2e4-02a156eb347f/f5265b14-fbb8-11ee-a405-f620d25ea70a
Finance Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_f9c91967-20e2-4260-83ec-d0e6c346ab6f.png,pintar.co,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/71a24f9d-960b-4112-8766-90bc7cbee852/5f823135-f185-11ee-9129-da28f9df4d8d
Accounting & Tax,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_f4582b8f-c088-4d57-95d8-9a370f5c9224.png,ELZATTA DAUKY,Kota Bandung,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/5fb33177-7656-4eac-b184-9a187592a4e4/a49a05b5-fc92-11ee-877d-ee833f3bb5c3
"Accounting, Finance & Tax Officer",https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_0ccd522c-aaf8-4e7f-b5c0-3f2c9b3f09b0.png,The Farmhill,Kota Semarang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/f0e8728d-6dc7-4cf5-84fb-6d1a47950232/4d6e551d-fbc8-11ee-877d-ee833f3bb5c3
ACCOUNTING FINANCE FRANCHISE LOMBOK,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_906ac76c-6666-4a66-a24f-7dabf0340dcf.jpg,Alfamart,Kota Tangerang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/313a80ac-21da-47fe-a999-e9d82b912be2/40ef9ffa-f18e-11ee-af0a-42786e9b30fb
ACCOUNTING FINANCE FRANCHISE KOTABUMI,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_906ac76c-6666-4a66-a24f-7dabf0340dcf.jpg,Alfamart,Kota Tangerang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/313a80ac-21da-47fe-a999-e9d82b912be2/ac73ff50-f18d-11ee-9129-da28f9df4d8d
ACCOUNTING FINANCE FRANCHISE JEMBER,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_906ac76c-6666-4a66-a24f-7dabf0340dcf.jpg,Alfamart,Kota Tangerang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/313a80ac-21da-47fe-a999-e9d82b912be2/1f97612c-f18d-11ee-af0a-42786e9b30fb
ACCOUNTING FINANCE FRANCHISE CIANJUR,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_906ac76c-6666-4a66-a24f-7dabf0340dcf.jpg,Alfamart,Kota Tangerang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/313a80ac-21da-47fe-a999-e9d82b912be2/b97ce9d8-f18b-11ee-af0a-42786e9b30fb
ACCOUNTING FINANCE FRANCHISE BALI,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_906ac76c-6666-4a66-a24f-7dabf0340dcf.jpg,Alfamart,Kota Tangerang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/313a80ac-21da-47fe-a999-e9d82b912be2/e16f9715-f18a-11ee-af0a-42786e9b30fb
ACCOUNTING FINANCE FRANCHISE TEGAL,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_906ac76c-6666-4a66-a24f-7dabf0340dcf.jpg,Alfamart,Kota Tangerang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/313a80ac-21da-47fe-a999-e9d82b912be2/388c54de-f0be-11ee-b5fd-3adf88f9c4af
ACCOUNTING FINANCE FRANCHISE SERANG,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_906ac76c-6666-4a66-a24f-7dabf0340dcf.jpg,Alfamart,Kota Tangerang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/313a80ac-21da-47fe-a999-e9d82b912be2/3e6ae82b-f0bd-11ee-92bb-b27cd062ba27
ACCOUNTING FINANCE FRANCHISE PEKANBARU,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_906ac76c-6666-4a66-a24f-7dabf0340dcf.jpg,Alfamart,Kota Tangerang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/313a80ac-21da-47fe-a999-e9d82b912be2/63396136-f0bc-11ee-9c51-1aff99471513
ACCOUNTING FINANCE FRANCHISE PALEMBANG,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_906ac76c-6666-4a66-a24f-7dabf0340dcf.jpg,Alfamart,Kota Tangerang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/313a80ac-21da-47fe-a999-e9d82b912be2/86a07a4c-f0bb-11ee-92bb-b27cd062ba27
ACCOUNTING FINANCE FRANCHISE MEDAN,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_906ac76c-6666-4a66-a24f-7dabf0340dcf.jpg,Alfamart,Kota Tangerang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/313a80ac-21da-47fe-a999-e9d82b912be2/32477a3e-f0b9-11ee-b5fd-3adf88f9c4af
ACCOUNTING FINANCE FRANCHISE CILACAP,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_906ac76c-6666-4a66-a24f-7dabf0340dcf.jpg,Alfamart,Kota Tangerang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/313a80ac-21da-47fe-a999-e9d82b912be2/783328c7-f18c-11ee-af0a-42786e9b30fb
FINANCE FRANCHISE,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_906ac76c-6666-4a66-a24f-7dabf0340dcf.jpg,Alfamart,Kota Tangerang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/313a80ac-21da-47fe-a999-e9d82b912be2/fd249b94-f174-11ee-9129-da28f9df4d8d
